province;red;green;blue;x;x
1;147;42;66;Province0001;x
2;174;54;73;Province0002;x
3;183;248;40;Province0003;x
4;134;42;90;Province0004;x
5;154;20;88;Province0005;x
6;240;228;61;Province0006;x
7;179;198;62;Province0007;x
8;219;202;55;Province0008;x
9;100;58;24;Province0009;x
10;76;234;110;Province0010;x
11;141;95;74;Province0011;x
12;209;101;14;Province0012;x
13;244;38;49;Province0013;x
14;160;119;20;Province0014;x
15;89;91;55;Province0015;x
16;249;172;113;Province0016;x
17;143;251;27;Province0017;x
18;213;178;114;Province0018;x
19;121;213;9;Province0019;x
20;236;124;28;Province0020;x
21;73;210;96;Province0021;x
22;149;29;30;Province0022;x
23;220;160;110;Province0023;x
24;141;148;118;Province0024;x
25;254;246;121;Province0025;x
26;179;194;54;Province0026;x
27;186;66;47;Province0027;x
28;165;229;106;Province0028;x
29;64;161;92;Province0029;x
30;224;85;64;Province0030;x
31;133;80;59;Province0031;x
32;79;58;41;Province0032;x
33;236;233;59;Province0033;x
34;159;145;23;Province0034;x
35;67;181;55;Province0035;x
36;217;173;91;Province0036;x
37;82;208;120;Province0037;x
38;107;210;49;Province0038;x
39;196;143;111;Province0039;x
40;114;109;116;Province0040;x
41;197;192;98;Province0041;x
42;64;136;120;Province0042;x
43;82;161;125;Province0043;x
44;83;174;69;Province0044;x
45;75;252;71;Province0045;x
46;77;130;112;Province0046;x
47;129;145;92;Province0047;x
48;122;143;126;Province0048;x
49;179;87;90;Province0049;x
50;197;146;81;Province0050;x
51;109;154;96;Province0051;x
52;139;151;123;Province0052;x
53;188;173;36;Province0053;x
54;71;218;96;Province0054;x
55;137;234;79;Province0055;x
56;130;17;25;Province0056;x
57;167;201;125;Province0057;x
58;67;110;101;Province0058;x
59;86;107;96;Province0059;x
60;151;61;9;Province0060;x
61;94;167;76;Province0061;x
62;217;116;58;Province0062;x
63;218;111;36;Province0063;x
64;180;120;14;Province0064;x
65;67;77;36;Province0065;x
66;97;225;60;Province0066;x
67;182;144;4;Province0067;x
68;233;222;79;Province0068;x
69;190;29;28;Province0069;x
70;68;54;4;Province0070;x
71;67;215;87;Province0071;x
72;68;226;32;Province0072;x
73;220;205;111;Province0073;x
74;64;55;54;Province0074;x
75;166;93;104;Province0075;x
76;196;84;86;Province0076;x
77;95;26;4;Province0077;x
78;183;140;123;Province0078;x
79;71;135;118;Province0079;x
80;148;240;21;Province0080;x
81;201;203;110;Province0081;x
82;248;161;39;Province0082;x
83;64;83;124;Province0083;x
84;234;90;87;Province0084;x
85;81;187;28;Province0085;x
86;182;118;103;Province0086;x
87;135;49;9;Province0087;x
88;188;140;86;Province0088;x
89;224;45;6;Province0089;x
90;194;119;2;Province0090;x
91;189;134;2;Province0091;x
92;142;112;121;Province0092;x
93;191;29;35;Province0093;x
94;69;103;104;Province0094;x
95;213;48;26;Province0095;x
96;232;10;72;Province0096;x
97;127;8;21;Province0097;x
98;200;79;72;Province0098;x
99;221;3;25;Province0099;x
100;90;246;26;Province0100;x
101;83;18;7;Province0101;x
102;207;74;23;Province0102;x
103;131;218;74;Province0103;x
104;187;131;37;Province0104;x
105;134;158;105;Province0105;x
106;156;125;2;Province0106;x
107;148;150;71;Province0107;x
108;76;135;81;Province0108;x
109;216;251;20;Province0109;x
110;121;24;51;Province0110;x
111;189;28;57;Province0111;x
112;254;118;61;Province0112;x
113;221;1;62;Province0113;x
114;155;126;53;Province0114;x
115;136;114;93;Province0115;x
116;209;175;76;Province0116;x
117;216;106;29;Province0117;x
118;228;212;9;Province0118;x
119;213;19;124;Province0119;x
120;172;253;32;Province0120;x
121;66;20;34;Province0121;x
122;100;66;104;Province0122;x
123;127;130;119;Province0123;x
124;183;142;113;Province0124;x
125;126;75;126;Province0125;x
126;70;234;120;Province0126;x
127;189;167;58;Province0127;x
128;65;60;83;Province0128;x
129;142;253;59;Province0129;x
130;154;111;83;Province0130;x
131;175;124;79;Province0131;x
132;203;2;29;Province0132;x
133;83;219;10;Province0133;x
134;109;48;9;Province0134;x
135;239;37;66;Province0135;x
136;194;197;100;Province0136;x
137;91;43;11;Province0137;x
138;97;2;31;Province0138;x
139;103;240;61;Province0139;x
140;88;76;62;Province0140;x
141;197;162;5;Province0141;x
142;193;19;71;Province0142;x
143;89;98;34;Province0143;x
144;194;25;51;Province0144;x
145;212;104;83;Province0145;x
146;114;250;13;Province0146;x
147;171;239;119;Province0147;x
148;245;122;80;Province0148;x
149;113;27;1;Province0149;x
150;102;176;3;Province0150;x
151;125;22;45;Province0151;x
152;173;132;121;Province0152;x
153;196;208;31;Province0153;x
154;232;226;36;Province0154;x
155;74;3;29;Province0155;x
156;191;236;63;Province0156;x
157;121;225;120;Province0157;x
158;193;219;113;Province0158;x
159;230;60;68;Province0159;x
160;151;3;65;Province0160;x
161;243;136;52;Province0161;x
162;234;96;9;Province0162;x
163;197;141;100;Province0163;x
164;143;188;118;Province0164;x
165;132;138;57;Province0165;x
166;167;90;13;Province0166;x
167;154;195;29;Province0167;x
168;99;230;123;Province0168;x
169;161;123;62;Province0169;x
170;254;57;75;Province0170;x
171;209;226;58;Province0171;x
172;94;235;104;Province0172;x
173;198;109;68;Province0173;x
174;191;205;113;Province0174;x
175;180;234;126;Province0175;x
176;229;94;52;Province0176;x
177;136;162;63;Province0177;x
178;146;92;34;Province0178;x
179;176;144;98;Province0179;x
180;78;155;1;Province0180;x
181;162;14;114;Province0181;x
182;222;27;86;Province0182;x
183;188;238;11;Province0183;x
184;249;54;81;Province0184;x
185;194;134;58;Province0185;x
186;215;229;24;Province0186;x
187;167;176;55;Province0187;x
188;177;182;35;Province0188;x
189;86;245;65;Province0189;x
190;107;76;30;Province0190;x
191;197;3;61;Province0191;x
192;196;84;22;Province0192;x
193;242;247;7;Province0193;x
194;165;44;90;Province0194;x
195;134;80;59;Province0195;x
196;210;187;97;Province0196;x
197;92;28;82;Province0197;x
198;66;47;85;Province0198;x
199;190;185;122;Province0199;x
200;144;214;37;Province0200;x
201;110;58;103;Province0201;x
202;97;78;124;Province0202;x
203;185;49;122;Province0203;x
204;79;169;68;Province0204;x
205;225;55;76;Province0205;x
206;199;49;112;Province0206;x
207;109;60;21;Province0207;x
208;133;213;106;Province0208;x
209;213;35;36;Province0209;x
210;128;215;20;Province0210;x
211;65;110;37;Province0211;x
212;214;53;20;Province0212;x
213;218;145;92;Province0213;x
214;230;73;80;Province0214;x
215;214;23;101;Province0215;x
216;204;42;111;Province0216;x
217;252;223;115;Province0217;x
218;244;100;62;Province0218;x
219;161;217;8;Province0219;x
220;127;195;71;Province0220;x
221;238;63;75;Province0221;x
222;184;218;25;Province0222;x
223;109;103;32;Province0223;x
224;88;196;68;Province0224;x
225;124;92;60;Province0225;x
226;143;98;72;Province0226;x
227;249;19;55;Province0227;x
228;181;204;52;Province0228;x
229;93;200;50;Province0229;x
230;198;240;46;Province0230;x
231;170;171;63;Province0231;x
232;230;100;63;Province0232;x
233;180;141;62;Province0233;x
234;190;88;48;Province0234;x
235;132;166;51;Province0235;x
236;252;179;118;Province0236;x
237;201;178;100;Province0237;x
238;90;56;36;Province0238;x
239;134;152;107;Province0239;x
240;155;205;121;Province0240;x
241;85;22;96;Province0241;x
242;74;79;3;Province0242;x
243;214;194;26;Province0243;x
244;115;41;107;Province0244;x
245;161;109;117;Province0245;x
246;239;149;38;Province0246;x
247;219;156;123;Province0247;x
248;190;193;17;Province0248;x
249;250;1;123;Province0249;x
250;225;79;23;Province0250;x
251;98;70;0;Province0251;x
252;125;165;87;Province0252;x
253;236;147;43;Province0253;x
